airport,city,hub_class,cy2024_enplanements,cy2023_enplanements,percent_change
ATL,Atlanta,L,52511402,50950068,3.06
DFW,Dallas-Fort Worth,L,42351316,39246212,7.91
DEN,Denver,L,40012895,37863967,5.68
ORD,Chicago,L,38575693,35843104,7.62
LAX,Los Angeles,L,37760834,40956673,-7.80
JFK,New York,L,31466102,30804355,2.15
CLT,Charlotte,L,28523822,25896224,10.15
MIA,Miami,L,26588002,24717048,7.57
SEA,Seattle,L,25414592,24594210,3.34
SFO,San Francisco,L,25078968,24191159,3.67
EWR,Newark,L,24544320,24575320,-0.13
IAH,Houston,L,23349157,22228844,5.04
BOS,Boston,L,21090721,19962678,5.65
FLL,Fort Lauderdale,L,17096131,17063063,0.19
LGA,New York,L,16715567,16173073,3.35
PHL,Philadelphia,L,15102261,13658669,10.57
DAL,Dallas,M,8654991,8559052,1.12
HOU,Houston,M,7116967,6800320,4.66
MCI,Kansas City,M,5915078,5654068,4.62
SJC,San Jose,M,5822019,5958855,-2.30
OAK,Oakland,M,5292736,5520812,-4.13
