rank,host_city,match_count,metro_airports,metro_enplanements,hub_score,match_component,activity_component,pressure_index
1,New York/New Jersey,8,JFK+EWR+LGA,72725989,1.0,0.889,1.000,96.3
2,Dallas,9,DFW+DAL,51006307,1.0,1.000,0.701,90.0
3,Atlanta,8,ATL,52511402,1.0,0.889,0.722,87.0
4,Los Angeles,8,LAX,37760834,1.0,0.889,0.519,80.3
5,Miami,7,MIA+FLL,43684133,1.0,0.778,0.601,79.3
6,Houston,7,IAH+HOU,30466124,1.0,0.778,0.419,73.2
7,San Francisco Bay Area,6,SFO+SJC+OAK,36193723,1.0,0.667,0.498,72.2
8,Boston,7,BOS,21090721,1.0,0.778,0.290,68.9
9,Seattle,6,SEA,25414592,1.0,0.667,0.349,67.2
10,Philadelphia,6,PHL,15102261,1.0,0.667,0.208,62.5
11,Kansas City,6,MCI,5915078,0.5,0.667,0.081,41.6
